,datetime,time_to_next_eruption,time_since_last_eruption,Wind Speed,RH,Temp,Wind Cumsum
275,1992-04-24 23:40:00+00:00,6000.0,11520.0,2.0,23.0,45.0,15.0
276,1992-04-25 15:14:00+00:00,11520.0,6480.0,0.0,33.0,43.0,3.0
277,1992-04-25 18:26:00+00:00,5880.0,11520.0,1.0,46.0,36.0,1.0
278,1992-04-25 20:04:00+00:00,5520.0,5880.0,0.0,53.0,33.0,0.0
279,1992-04-25 21:36:00+00:00,5940.0,5520.0,1.0,63.0,28.0,1.0
280,1992-04-25 23:15:00+00:00,5520.0,5940.0,7.0,24.0,59.0,31.0
281,1992-04-26 16:14:00+00:00,11520.0,6000.0,3.0,24.0,56.0,14.0
282,1992-04-26 19:26:00+00:00,11520.0,11520.0,3.0,27.0,50.0,74.0
283,1992-04-27 20:40:00+00:00,6000.0,5880.0,1.0,46.0,39.0,2.0
284,1992-04-27 22:20:00+00:00,6240.0,6000.0,5.0,30.0,56.0,17.0
285,1992-04-28 13:52:00+00:00,6180.0,6180.0,6.0,31.0,57.0,11.0
286,1992-04-28 15:35:00+00:00,6000.0,6180.0,6.0,31.0,57.0,11.0
287,1992-04-28 17:15:00+00:00,5820.0,6000.0,5.0,31.0,56.0,5.0
288,1992-04-28 18:52:00+00:00,6240.0,5820.0,2.0,49.0,44.0,4.0
289,1992-04-28 20:36:00+00:00,6060.0,6240.0,2.0,59.0,37.0,4.0
290,1992-04-28 22:17:00+00:00,5700.0,6060.0,0.0,69.0,33.0,0.0
291,1992-04-28 23:52:00+00:00,6060.0,5700.0,1.0,51.0,41.0,74.0
292,1992-04-29 23:32:00+00:00,6000.0,5520.0,8.0,34.0,46.0,138.0
293,1992-04-30 18:31:00+00:00,6360.0,6240.0,6.0,39.0,42.0,11.0
294,1992-04-30 20:17:00+00:00,6540.0,6360.0,2.0,25.0,50.0,50.0
295,1992-05-01 15:52:00+00:00,6120.0,6480.0,5.0,20.0,48.0,12.0
296,1992-05-01 17:34:00+00:00,6300.0,6120.0,3.0,24.0,44.0,6.0
297,1992-05-01 19:19:00+00:00,6120.0,6300.0,2.0,30.0,39.0,5.0
298,1992-05-01 21:01:00+00:00,5760.0,6120.0,2.0,47.0,33.0,2.0
299,1992-05-01 22:37:00+00:00,6300.0,5760.0,6.0,24.0,53.0,18.0
300,1992-05-02 14:49:00+00:00,6240.0,6540.0,7.0,19.0,54.0,15.0
301,1992-05-02 16:33:00+00:00,6360.0,6240.0,8.0,25.0,51.0,14.0
302,1992-05-02 18:19:00+00:00,5700.0,6360.0,2.0,31.0,47.0,2.0
303,1992-05-02 19:54:00+00:00,6240.0,5700.0,0.0,52.0,36.0,3.0
304,1992-05-02 21:38:00+00:00,11340.0,6240.0,0.0,60.0,29.0,2.0
305,1992-05-03 00:47:00+00:00,5580.0,11340.0,3.0,32.0,53.0,17.0
306,1992-05-03 15:08:00+00:00,11340.0,6360.0,2.0,29.0,52.0,10.0
307,1992-05-03 18:17:00+00:00,5700.0,11340.0,1.0,52.0,41.0,57.0
308,1992-05-05 23:04:00+00:00,5760.0,5940.0,2.0,64.0,36.0,2.0
