datetime,duration_seconds,height,interpolated_height,time_to_next_eruption,time_since_last_eruption
2014-06-15 09:50:00+00:00,110,140.0,0.0,4620.0,5700.0
2014-06-15 11:07:00+00:00,241,150.0,0.0,6360.0,4620.0
2014-06-15 12:53:00+00:00,249,145.0,0.0,5580.0,6360.0
2014-06-15 14:26:00+00:00,216,130.0,0.0,5820.0,5580.0
2014-06-15 16:03:00+00:00,246,130.0,0.0,5280.0,5820.0
2014-06-15 17:31:00+00:00,245,130.0,0.0,5940.0,5280.0
2014-06-16 09:34:00+00:00,257,145.0,0.0,5520.0,5640.0
2014-06-16 11:06:00+00:00,160,150.0,0.0,3660.0,5520.0
2014-06-16 12:07:00+00:00,286,120.0,0.0,6180.0,3660.0
2014-06-16 13:50:00+00:00,236,145.0,0.0,4920.0,6180.0
2014-06-16 15:12:00+00:00,229,130.0,0.0,5580.0,4920.0
2014-06-16 16:45:00+00:00,159,125.0,0.0,4140.0,5580.0
2014-06-16 17:54:00+00:00,253,130.0,0.0,5700.0,4140.0
2014-06-17 09:11:00+00:00,215,135.0,0.0,6180.0,6060.0
2014-06-17 10:54:00+00:00,260,160.0,0.0,5700.0,6180.0
2014-06-17 12:29:00+00:00,233,140.0,0.0,5160.0,5700.0
2014-06-17 13:55:00+00:00,254,125.0,0.0,5460.0,5160.0
2014-06-17 15:26:00+00:00,233,137.0,1.0,6180.0,5460.0
2014-06-17 17:09:00+00:00,236,160.0,0.0,5220.0,6180.0
2014-06-17 18:36:00+00:00,129,120.0,0.0,4140.0,5220.0
2014-06-18 09:39:00+00:00,212,137.0,1.0,6000.0,5280.0
2014-06-18 11:19:00+00:00,231,150.0,0.0,5160.0,6000.0
2014-06-18 12:45:00+00:00,230,120.0,0.0,6000.0,5160.0
2014-06-18 14:25:00+00:00,214,145.0,0.0,5340.0,6000.0
2014-06-18 15:54:00+00:00,247,120.0,0.0,5580.0,5340.0
2014-06-18 17:27:00+00:00,117,130.0,0.0,4980.0,5580.0
2014-06-19 10:03:00+00:00,107,145.0,0.0,3660.0,6000.0
2014-06-19 11:04:00+00:00,241,130.0,0.0,5700.0,3660.0
2014-06-19 12:39:00+00:00,100,130.0,0.0,4620.0,5700.0
2014-06-19 13:56:00+00:00,254,150.0,0.0,6300.0,4620.0
2014-06-19 15:41:00+00:00,74,130.0,0.0,3540.0,6300.0
2014-06-19 16:40:00+00:00,251,130.0,0.0,6540.0,3540.0
2014-06-19 18:29:00+00:00,227,160.0,0.0,5580.0,6540.0
2014-06-20 08:07:00+00:00,248,120.0,0.0,5640.0,5700.0
2014-06-20 09:41:00+00:00,118,135.0,0.0,4380.0,5640.0
2014-06-20 10:54:00+00:00,252,150.0,0.0,6180.0,4380.0
2014-06-20 12:37:00+00:00,241,130.0,0.0,5640.0,6180.0
2014-06-20 14:11:00+00:00,259,140.0,0.0,6060.0,5640.0
2014-06-20 15:52:00+00:00,263,130.0,0.0,5760.0,6060.0
2014-06-20 17:28:00+00:00,224,145.0,0.0,5760.0,5760.0
2014-06-21 08:28:00+00:00,254,130.0,0.0,6360.0,3540.0
2014-06-21 10:14:00+00:00,109,130.0,0.0,3600.0,6360.0
2014-06-21 11:14:00+00:00,276,140.0,0.0,6540.0,3600.0
2014-06-21 13:03:00+00:00,218,140.0,0.0,5400.0,6540.0
2014-06-22 10:13:00+00:00,265,135.0,0.0,6000.0,4560.0
2014-06-22 11:53:00+00:00,241,130.0,0.0,5640.0,6000.0
2014-06-22 13:27:00+00:00,279,140.0,0.0,5820.0,5640.0
2014-06-22 15:04:00+00:00,269,110.0,0.0,5520.0,5820.0
2014-06-22 16:36:00+00:00,140,140.0,0.0,4740.0,5520.0
2014-06-22 17:55:00+00:00,255,165.0,0.0,5820.0,4740.0
2014-06-23 10:56:00+00:00,181,137.0,1.0,5160.0,6060.0
2014-06-23 12:22:00+00:00,224,150.0,0.0,6000.0,5160.0
2014-06-23 14:02:00+00:00,205,160.0,0.0,5220.0,6000.0
2014-06-23 15:29:00+00:00,245,150.0,0.0,6780.0,5220.0
2014-06-23 17:22:00+00:00,227,160.0,0.0,5520.0,6780.0
2014-06-23 18:54:00+00:00,112,140.0,0.0,3420.0,5520.0
2014-06-24 09:47:00+00:00,200,130.0,0.0,5460.0,5160.0
2014-06-24 11:18:00+00:00,239,130.0,0.0,6240.0,5460.0
2014-06-24 13:02:00+00:00,217,140.0,0.0,5280.0,6240.0
2014-06-24 14:30:00+00:00,240,160.0,0.0,6180.0,5280.0
2014-06-24 16:13:00+00:00,238,150.0,0.0,4920.0,6180.0
2014-06-24 17:35:00+00:00,210,137.0,1.0,5940.0,4920.0
2014-06-25 09:01:00+00:00,240,150.0,0.0,5520.0,5280.0
2014-06-25 10:33:00+00:00,241,130.0,0.0,5580.0,5520.0
2014-06-25 12:06:00+00:00,240,135.0,0.0,5580.0,5580.0
2014-06-25 13:39:00+00:00,225,145.0,0.0,5400.0,5580.0
2014-06-25 15:09:00+00:00,242,140.0,0.0,5340.0,5400.0
2014-06-26 09:53:00+00:00,253,135.0,0.0,6180.0,5280.0
2014-06-26 11:36:00+00:00,224,140.0,0.0,5580.0,6180.0
2014-06-26 13:09:00+00:00,232,130.0,0.0,5640.0,5580.0
2014-06-26 14:43:00+00:00,248,135.0,0.0,6180.0,5640.0
2014-06-26 16:26:00+00:00,245,150.0,0.0,5880.0,6180.0
2014-06-26 18:04:00+00:00,236,165.0,0.0,5220.0,5880.0
2014-06-27 09:18:00+00:00,274,140.0,0.0,6240.0,3900.0
2014-06-27 11:02:00+00:00,200,145.0,0.0,5280.0,6240.0
2014-06-27 12:30:00+00:00,244,140.0,0.0,6480.0,5280.0
2014-06-27 14:18:00+00:00,251,140.0,0.0,5640.0,6480.0
2014-06-27 15:52:00+00:00,216,130.0,0.0,5640.0,5640.0
2014-06-27 17:26:00+00:00,251,137.0,1.0,5340.0,5640.0
2014-06-28 09:50:00+00:00,245,130.0,0.0,5820.0,6360.0
2014-06-28 11:27:00+00:00,155,130.0,0.0,3960.0,5820.0
2014-06-28 12:33:00+00:00,279,130.0,0.0,5940.0,3960.0
2014-06-28 14:12:00+00:00,246,130.0,0.0,5640.0,5940.0
2014-06-28 15:46:00+00:00,210,135.0,0.0,5640.0,5640.0
2014-06-28 17:20:00+00:00,251,130.0,0.0,5520.0,5640.0
2014-06-28 18:52:00+00:00,127,135.0,0.0,4140.0,5520.0
2014-06-29 11:09:00+00:00,241,150.0,0.0,5460.0,6000.0
2014-06-29 12:40:00+00:00,233,130.0,0.0,5220.0,5460.0
2014-06-29 14:07:00+00:00,253,130.0,0.0,5580.0,5220.0
2014-06-29 15:40:00+00:00,238,130.0,0.0,6120.0,5580.0
2014-06-29 17:22:00+00:00,249,150.0,0.0,5100.0,6120.0
2014-06-30 09:38:00+00:00,113,150.0,0.0,4620.0,6000.0
2014-06-30 10:55:00+00:00,239,150.0,0.0,5280.0,4620.0
2014-06-30 12:23:00+00:00,225,130.0,0.0,5880.0,5280.0
2014-06-30 14:01:00+00:00,258,140.0,0.0,6120.0,5880.0
2014-06-30 15:43:00+00:00,257,140.0,0.0,5700.0,6120.0
2014-06-30 17:18:00+00:00,116,120.0,0.0,3900.0,5700.0
2014-06-30 18:23:00+00:00,261,140.0,0.0,6180.0,3900.0
2014-07-01 10:19:00+00:00,217,140.0,0.0,6660.0,5460.0
